year,date,season,island,birddens,bird,site,survey,tot_webs,time,length,webs10m
2008,30-Apr-08,dry,Rota,5.3,yes,RT100Overpass,1,21,10:25,20,10.5
2007,8/16/07,wet,Tinian,14.9,yes,UK,1,2,13:00,30,0.666666667
2007,8/16/07,wet,Tinian,14.9,yes,UK,2,2,na,30,0.666666667
2008,30-Apr-08,dry,Rota,5.3,yes,overlook,1,43,12:00,20,21.5
2007,7/31/07,wet,Rota,5.3,yes,overlook,1,1,17:20,30,0.333333333
2008,14-May-08,dry,Tinian,14.9,yes,ginoza,2,23,10:12,20,11.5
2007,3-Oct-07,wet,Guam,0,no,tang,1,66,na,30,22
2008,23-May-08,dry,Guam,0,no,tang,1,26,9:52,20,13
2007,9/5/07,wet,Guam,0,no,1000steps,1,11,na,30,3.666666667
2007,9/5/07,wet,Guam,0,no,1000steps,2,83,na,30,27.66666667
2007,8/16/07,wet,Tinian,14.9,yes,Tinian_beach,1,0,14:45,30,0
2007,8/16/07,wet,Tinian,14.9,yes,Tinian_beach,2,0,14:45,30,0
2008,20-May-08,dry,Saipan,19.2,yes,TR1,1,21,9:44,20,10.5
2008,20-May-08,dry,Saipan,19.2,yes,TR1,2,23,10:40,20,11.5
2008,20-May-08,dry,Saipan,19.2,yes,TR6,1,18,11:29,20,9
2007,8/16/07,wet,Tinian,14.9,yes,well  ,1,2,8:00,30,0.666666667
2007,8/16/07,wet,Tinian,14.9,yes,well  ,2,1,na,30,0.333333333
